customer_id,country,signup_date,acquisition_campaign_id
C00001,Indonesia,2025-11-24,
C00002,Indonesia,2025-05-21,CMP004
C00003,Thailand,2025-03-13,
C00004,Thailand,2025-12-13,
C00005,Indonesia,2025-10-07,
C00006,Indonesia,2025-08-05,CMP005
C00007,Indonesia,2025-02-17,CMP005
C00008,Thailand,2025-09-16,CMP003
C00009,Indonesia,2025-10-15,
C00010,Thailand,2025-11-29,
C00011,Indonesia,2025-08-03,CMP002
C00012,Indonesia,2025-10-29,CMP005
C00013,Thailand,2025-01-04,
C00014,Thailand,2025-03-23,
C00015,Indonesia,2025-06-24,
C00016,Singapore,2025-04-21,CMP002
C00017,Indonesia,2025-06-22,CMP002
C00018,Indonesia,2025-07-14,CMP004
C00019,Thailand,2025-06-26,CMP003
C00020,Thailand,2025-01-23,CMP003
C00021,Indonesia,2025-10-02,
C00022,Indonesia,2025-07-13,CMP001
C00023,Thailand,2025-05-31,CMP003
C00024,Singapore,2025-11-13,CMP001
C00025,Indonesia,2025-07-05,CMP002
C00026,Indonesia,2025-12-27,
C00027,Indonesia,2025-12-05,
C00028,Singapore,2025-05-29,CMP003
C00029,Singapore,2025-04-30,CMP003
C00030,Indonesia,2025-07-14,CMP003
C00031,Thailand,2025-11-22,
C00032,Indonesia,2025-03-25,CMP002
C00033,Thailand,2025-04-18,
C00034,Singapore,2025-12-26,
C00035,Indonesia,2025-11-28,CMP002
C00036,Indonesia,2025-11-22,
C00037,Indonesia,2025-05-06,
C00038,Indonesia,2025-07-14,
C00039,Thailand,2025-11-24,
C00040,Thailand,2025-04-23,CMP004
C00041,Indonesia,2025-01-29,CMP002
C00042,Thailand,2025-01-17,CMP004
C00043,Indonesia,2025-07-25,CMP003
C00044,Singapore,2025-04-19,
C00045,Singapore,2025-10-18,CMP003
C00046,Indonesia,2025-06-11,CMP003
C00047,Indonesia,2025-09-13,
C00048,Indonesia,2025-11-26,
C00049,Indonesia,2025-05-16,CMP003
C00050,Indonesia,2025-10-15,CMP001
C00051,Indonesia,2025-10-27,CMP002
C00052,Indonesia,2025-10-26,
C00053,Singapore,2025-04-23,CMP004
C00054,Indonesia,2025-03-12,
C00055,Thailand,2025-02-16,CMP002
C00056,Indonesia,2025-02-26,
C00057,Thailand,2025-03-23,
C00058,Indonesia,2025-08-05,
C00059,Indonesia,2025-07-17,CMP005
C00060,Indonesia,2025-08-28,CMP004
C00061,Singapore,2025-10-11,
C00062,Thailand,2025-01-06,
C00063,Thailand,2025-02-28,CMP005
C00064,Thailand,2025-10-02,CMP003
C00065,Indonesia,2025-11-25,
C00066,Indonesia,2025-05-31,
C00067,Indonesia,2025-08-21,
C00068,Singapore,2025-05-15,CMP002
C00069,Indonesia,2025-04-02,
C00070,Singapore,2025-02-24,CMP001
C00071,Thailand,2025-06-02,
C00072,Thailand,2025-09-17,
C00073,Indonesia,2025-03-20,
C00074,Indonesia,2025-03-24,CMP003
C00075,Singapore,2025-09-29,CMP003
C00076,Indonesia,2025-11-03,
C00077,Indonesia,2025-01-10,
C00078,Singapore,2025-07-05,
