date,campaign_id,impressions,clicks,spend
2025-01-01,CMP001,9071,579,177.13
2025-01-01,CMP002,11298,571,342.54
2025-01-01,CMP003,10657,590,243.64
2025-01-01,CMP004,7087,309,165.58
2025-01-01,CMP005,17257,395,117.27
2025-01-02,CMP001,6895,552,170.39
2025-01-02,CMP002,11084,535,254.48
2025-01-02,CMP003,8934,486,204.22
2025-01-02,CMP004,8686,333,218.46
2025-01-02,CMP005,17116,460,143.07
2025-01-03,CMP001,9100,683,255.97
2025-01-03,CMP002,10195,405,234.54
2025-01-03,CMP003,9794,534,257.26
2025-01-03,CMP004,7553,265,164.75
2025-01-03,CMP005,17346,481,142.13
2025-01-04,CMP001,8669,659,196.21
2025-01-04,CMP002,13355,595,304.28
2025-01-04,CMP003,10863,653,318.01
2025-01-04,CMP004,9100,394,218.64
2025-01-04,CMP005,12077,256,86.91
2025-01-05,CMP001,10168,811,312.41
2025-01-05,CMP002,12727,529,329.81
2025-01-05,CMP003,11195,672,341.66
2025-01-05,CMP004,9231,378,217.94
2025-01-05,CMP005,12547,336,94.02
2025-01-06,CMP001,8781,676,239.54
2025-01-06,CMP002,12560,541,253.37
2025-01-06,CMP003,10706,517,249.23
2025-01-06,CMP004,7208,279,163.06
2025-01-06,CMP005,15089,433,132.22
2025-01-07,CMP001,7693,526,181.8
2025-01-07,CMP002,10996,438,216.79
2025-01-07,CMP003,11210,555,282.55
2025-01-07,CMP004,7019,319,177.51
2025-01-07,CMP005,17523,414,131.83
2025-01-08,CMP001,7077,462,145.22
2025-01-08,CMP002,12806,513,287.3
2025-01-08,CMP003,10425,599,251.0
2025-01-08,CMP004,7562,267,155.03
2025-01-08,CMP005,12308,292,87.48
2025-01-09,CMP001,8320,639,204.13
2025-01-09,CMP002,11514,584,314.82
2025-01-09,CMP003,10059,483,190.8
2025-01-09,CMP004,7964,272,175.2
2025-01-09,CMP005,14018,353,110.5
2025-01-10,CMP001,7714,631,220.31
2025-01-10,CMP002,14106,610,359.92
2025-01-10,CMP003,8602,533,233.08
2025-01-10,CMP004,7704,323,181.49
2025-01-10,CMP005,16457,387,113.51
2025-01-11,CMP001,7157,509,167.85
2025-01-11,CMP002,10955,495,244.62
2025-01-11,CMP003,9958,500,252.54
2025-01-11,CMP004,8641,387,205.19
2025-01-11,CMP005,15808,369,117.12
2025-01-12,CMP001,9957,635,242.56
2025-01-12,CMP002,12316,537,316.64
2025-01-12,CMP003,11641,678,327.28
2025-01-12,CMP004,6721,266,138.67
2025-01-12,CMP005,15849,366,117.35
2025-01-13,CMP001,10051,837,336.81
2025-01-13,CMP002,9918,491,303.95
2025-01-13,CMP003,11795,694,297.15
2025-01-13,CMP004,9163,360,242.31
2025-01-13,CMP005,14507,415,120.55
2025-01-14,CMP001,7445,475,174.48
2025-01-14,CMP002,12961,637,360.13
2025-01-14,CMP003,9459,555,272.79
2025-01-14,CMP004,8766,325,184.09
2025-01-14,CMP005,17029,429,123.49
2025-01-15,CMP001,7179,592,187.71
2025-01-15,CMP002,10263,416,232.16
2025-01-15,CMP003,9219,457,176.42
2025-01-15,CMP004,8492,310,187.26
2025-01-15,CMP005,12038,319,85.47
2025-01-16,CMP001,8225,573,182.14
2025-01-16,CMP002,11418,568,271.8
2025-01-16,CMP003,9836,608,275.8
2025-01-16,CMP004,6874,239,159.17
2025-01-16,CMP005,13180,286,73.51
2025-01-17,CMP001,9852,704,281.49
2025-01-17,CMP002,12508,562,351.26
2025-01-17,CMP003,8534,472,241.96
2025-01-17,CMP004,8585,352,222.99
2025-01-17,CMP005,12283,294,83.1
2025-01-18,CMP001,8157,579,177.79
2025-01-18,CMP002,13376,674,335.82
2025-01-18,CMP003,8036,409,205.77
2025-01-18,CMP004,7890,310,167.41
2025-01-18,CMP005,13258,351,99.39
2025-01-19,CMP001,7664,549,192.62
2025-01-19,CMP002,13943,657,340.8
2025-01-19,CMP003,10683,631,326.24
2025-01-19,CMP004,6564,282,152.66
2025-01-19,CMP005,14964,414,126.84
2025-01-20,CMP001,9355,752,282.1
2025-01-20,CMP002,11708,592,363.71
2025-01-20,CMP003,8525,445,184.78
2025-01-20,CMP004,9306,354,239.72
2025-01-20,CMP005,15481,440,115.3
2025-01-21,CMP001,8180,647,195.13
2025-01-21,CMP002,10419,472,268.76
2025-01-21,CMP003,10571,581,222.48
2025-01-21,CMP004,6553,280,144.46
2025-01-21,CMP005,15021,385,98.41
2025-01-22,CMP001,7338,573,200.78
2025-01-22,CMP002,10737,484,260.72
2025-01-22,CMP003,11729,685,268.12
2025-01-22,CMP004,7597,286,175.07
2025-01-22,CMP005,17957,445,130.57
2025-01-23,CMP001,9984,854,263.54
2025-01-23,CMP002,14109,564,320.3
2025-01-23,CMP003,11207,609,301.45
2025-01-23,CMP004,9175,383,233.3
2025-01-23,CMP005,12178,326,87.9
2025-01-24,CMP001,7505,639,192.74
2025-01-24,CMP002,9849,425,218.77
2025-01-24,CMP003,10458,539,253.08
2025-01-24,CMP004,6628,232,148.7
2025-01-24,CMP005,14605,362,108.84
2025-01-25,CMP001,8562,717,265.54
2025-01-25,CMP002,13216,649,326.59
2025-01-25,CMP003,10878,618,293.55
2025-01-25,CMP004,9139,377,246.95
2025-01-25,CMP005,13281,364,99.69
2025-01-26,CMP001,8178,556,200.33
2025-01-26,CMP002,13153,599,361.64
2025-01-26,CMP003,11695,688,326.93
2025-01-26,CMP004,8615,338,176.92
2025-01-26,CMP005,15216,366,101.61
2025-01-27,CMP001,6957,524,177.8
2025-01-27,CMP002,13520,599,376.97
2025-01-27,CMP003,10892,519,215.75
2025-01-27,CMP004,6498,234,152.92
2025-01-27,CMP005,17875,400,136.77
2025-01-28,CMP001,8069,635,231.5
2025-01-28,CMP002,14260,677,386.76
2025-01-28,CMP003,9372,537,228.74
2025-01-28,CMP004,8383,298,163.32
2025-01-28,CMP005,13789,379,121.15
2025-01-29,CMP001,9152,732,217.98
2025-01-29,CMP002,13951,677,326.26
2025-01-29,CMP003,8464,481,208.21
2025-01-29,CMP004,8519,330,171.85
2025-01-29,CMP005,17687,402,102.88
2025-01-30,CMP001,7448,549,212.05
2025-01-30,CMP002,13586,525,255.85
2025-01-30,CMP003,11894,622,259.62
2025-01-30,CMP004,8657,331,187.63
2025-01-30,CMP005,15365,429,113.64
2025-01-31,CMP001,7755,619,227.65
2025-01-31,CMP002,9708,388,188.84
2025-01-31,CMP003,11768,678,327.93
2025-01-31,CMP004,8690,377,251.87
2025-01-31,CMP005,16118,407,128.94
2025-02-01,CMP001,7775,522,185.54
2025-02-01,CMP002,11364,483,290.95
2025-02-01,CMP003,8480,399,204.4
2025-02-01,CMP004,8346,375,191.48
2025-02-01,CMP005,15754,449,132.36
2025-02-02,CMP001,7897,571,191.06
2025-02-02,CMP002,11148,536,269.07
2025-02-02,CMP003,7321,355,138.13
2025-02-02,CMP004,6331,237,144.99
2025-02-02,CMP005,14110,340,101.4
2025-02-03,CMP001,8197,532,179.87
2025-02-03,CMP002,10504,538,261.44
2025-02-03,CMP003,7536,476,196.75
2025-02-03,CMP004,6215,284,167.4
2025-02-03,CMP005,10847,255,76.53
2025-02-04,CMP001,7911,655,197.15
2025-02-04,CMP002,10936,481,283.45
2025-02-04,CMP003,9528,510,207.41
2025-02-04,CMP004,6457,288,176.79
2025-02-04,CMP005,14047,390,120.41
2025-02-05,CMP001,8131,696,255.88
2025-02-05,CMP002,9439,368,204.82
2025-02-05,CMP003,7751,472,195.89
2025-02-05,CMP004,7734,307,197.99
2025-02-05,CMP005,11854,271,69.74
2025-02-06,CMP001,8612,582,188.87
2025-02-06,CMP002,8779,433,220.36
2025-02-06,CMP003,8612,508,238.3
2025-02-06,CMP004,6385,253,159.3
2025-02-06,CMP005,16127,454,149.77
2025-02-07,CMP001,7811,663,262.1
2025-02-07,CMP002,11547,497,257.98
2025-02-07,CMP003,9817,564,269.36
2025-02-07,CMP004,7748,331,208.85
2025-02-07,CMP005,14344,320,107.43
2025-02-08,CMP001,8747,690,226.56
2025-02-08,CMP002,11249,454,285.04
2025-02-08,CMP003,7470,374,160.39
2025-02-08,CMP004,8354,302,183.62
2025-02-08,CMP005,13683,307,90.2
2025-02-09,CMP001,7771,637,217.41
2025-02-09,CMP002,9710,454,223.0
2025-02-09,CMP003,8764,492,202.57
2025-02-09,CMP004,7790,310,179.6
2025-02-09,CMP005,15859,429,133.71
2025-02-10,CMP001,7702,645,253.54
2025-02-10,CMP002,11931,504,267.82
2025-02-10,CMP003,10204,642,274.22
2025-02-10,CMP004,5952,231,124.17
2025-02-10,CMP005,15780,440,144.72
2025-02-11,CMP001,7956,599,218.12
2025-02-11,CMP002,10795,484,254.69
2025-02-11,CMP003,8536,490,222.61
2025-02-11,CMP004,7016,243,125.02
2025-02-11,CMP005,15449,383,100.07
2025-02-12,CMP001,7009,551,188.05
2025-02-12,CMP002,11126,500,250.61
2025-02-12,CMP003,9163,562,285.51
2025-02-12,CMP004,6160,261,166.09
2025-02-12,CMP005,16193,429,122.53
2025-02-13,CMP001,9086,776,310.09
2025-02-13,CMP002,9759,455,213.6
2025-02-13,CMP003,8717,463,183.66
2025-02-13,CMP004,6959,298,178.95
2025-02-13,CMP005,14180,313,91.19
2025-02-14,CMP001,8195,685,257.49
2025-02-14,CMP002,11333,532,298.57
2025-02-14,CMP003,9180,447,198.36
2025-02-14,CMP004,7842,311,209.03
2025-02-14,CMP005,15609,355,108.03
2025-02-15,CMP001,8110,650,240.37
2025-02-15,CMP002,11024,505,280.71
2025-02-15,CMP003,9512,445,190.5
2025-02-15,CMP004,6441,255,148.14
2025-02-15,CMP005,14725,360,104.29
2025-02-16,CMP001,7399,621,189.81
2025-02-16,CMP002,12130,612,290.81
2025-02-16,CMP003,8224,423,207.65
2025-02-16,CMP004,6870,243,163.91
2025-02-16,CMP005,12256,271,69.37
2025-02-17,CMP001,8231,552,176.09
2025-02-17,CMP002,10132,396,203.59
2025-02-17,CMP003,8173,391,190.4
2025-02-17,CMP004,5969,244,153.5
2025-02-17,CMP005,14844,330,84.8
2025-02-18,CMP001,8847,670,211.43
2025-02-18,CMP002,9482,467,290.03
2025-02-18,CMP003,7322,373,153.83
2025-02-18,CMP004,8185,297,172.97
2025-02-18,CMP005,15573,394,104.03
2025-02-19,CMP001,7264,505,169.43
2025-02-19,CMP002,12911,618,300.78
2025-02-19,CMP003,9477,533,210.42
2025-02-19,CMP004,8203,368,198.16
2025-02-19,CMP005,13594,376,105.86
2025-02-20,CMP001,7591,637,253.55
2025-02-20,CMP002,11036,483,227.43
2025-02-20,CMP003,8489,452,217.36
2025-02-20,CMP004,7426,257,156.46
2025-02-20,CMP005,14957,339,106.92
2025-02-21,CMP001,6396,445,141.55
2025-02-21,CMP002,9114,429,239.46
2025-02-21,CMP003,7394,435,195.34
2025-02-21,CMP004,8057,311,175.29
2025-02-21,CMP005,13519,352,103.93
2025-02-22,CMP001,7078,592,215.23
2025-02-22,CMP002,10828,415,255.66
2025-02-22,CMP003,9777,589,299.53
2025-02-22,CMP004,5871,205,108.21
2025-02-22,CMP005,14799,343,103.92
2025-02-23,CMP001,6686,445,167.67
2025-02-23,CMP002,11187,468,218.95
2025-02-23,CMP003,10629,583,264.2
2025-02-23,CMP004,7987,311,193.07
2025-02-23,CMP005,13716,306,96.61
2025-02-24,CMP001,7400,542,174.51
2025-02-24,CMP002,12555,638,397.74
2025-02-24,CMP003,8869,439,184.16
2025-02-24,CMP004,6819,263,168.79
2025-02-24,CMP005,14931,424,131.23
2025-02-25,CMP001,7627,513,182.38
2025-02-25,CMP002,11376,489,296.25
2025-02-25,CMP003,7330,436,205.34
2025-02-25,CMP004,6256,251,133.39
2025-02-25,CMP005,14857,321,82.29
2025-02-26,CMP001,6242,537,207.36
2025-02-26,CMP002,8681,413,227.92
2025-02-26,CMP003,9234,532,218.85
2025-02-26,CMP004,7777,264,138.27
2025-02-26,CMP005,12007,281,76.07
2025-02-27,CMP001,6527,524,171.34
2025-02-27,CMP002,11916,479,267.99
2025-02-27,CMP003,9379,505,235.93
2025-02-27,CMP004,5893,260,154.24
2025-02-27,CMP005,12655,317,87.69
2025-02-28,CMP001,6541,501,183.3
2025-02-28,CMP002,9760,423,202.68
2025-02-28,CMP003,10010,549,259.96
2025-02-28,CMP004,6806,241,148.03
2025-02-28,CMP005,10884,302,85.18
2025-03-01,CMP001,8496,630,239.29
2025-03-01,CMP002,8961,450,218.44
2025-03-01,CMP003,10754,543,255.65
2025-03-01,CMP004,5760,225,118.34
2025-03-01,CMP005,13647,312,90.69
2025-03-02,CMP001,7505,548,211.55
2025-03-02,CMP002,10196,460,263.32
2025-03-02,CMP003,10611,536,217.84
2025-03-02,CMP004,6008,223,132.5
2025-03-02,CMP005,11135,300,103.08
2025-03-03,CMP001,8150,561,216.15
2025-03-03,CMP002,11769,530,304.88
2025-03-03,CMP003,8623,532,241.56
2025-03-03,CMP004,6452,255,142.5
2025-03-03,CMP005,11430,284,86.07
2025-03-04,CMP001,7459,572,225.56
2025-03-04,CMP002,12039,586,340.08
2025-03-04,CMP003,7665,457,231.4
2025-03-04,CMP004,8557,369,234.72
2025-03-04,CMP005,12753,364,93.9
2025-03-05,CMP001,7847,568,181.22
2025-03-05,CMP002,10524,519,288.65
2025-03-05,CMP003,9167,544,265.57
2025-03-05,CMP004,7548,280,154.31
2025-03-05,CMP005,11241,308,79.4
2025-03-06,CMP001,6786,486,149.45
2025-03-06,CMP002,9767,394,230.72
2025-03-06,CMP003,8802,472,201.41
2025-03-06,CMP004,7323,265,164.02
2025-03-06,CMP005,11774,264,69.85
2025-03-07,CMP001,8032,664,230.25
2025-03-07,CMP002,11105,479,257.44
2025-03-07,CMP003,10509,496,197.4
2025-03-07,CMP004,7188,326,194.08
2025-03-07,CMP005,12198,287,88.46
2025-03-08,CMP001,6148,486,164.44
2025-03-08,CMP002,10839,444,272.56
2025-03-08,CMP003,9450,520,222.46
2025-03-08,CMP004,5767,209,135.85
2025-03-08,CMP005,13452,347,111.59
2025-03-09,CMP001,7991,581,175.75
2025-03-09,CMP002,9000,426,245.33
2025-03-09,CMP003,9104,539,264.24
2025-03-09,CMP004,5770,259,171.72
2025-03-09,CMP005,12197,272,74.9
2025-03-10,CMP001,6910,572,181.15
2025-03-10,CMP002,9492,388,212.45
2025-03-10,CMP003,10163,553,216.28
2025-03-10,CMP004,7992,305,158.7
2025-03-10,CMP005,13136,375,100.41
2025-03-11,CMP001,7995,660,248.24
2025-03-11,CMP002,11556,555,341.46
2025-03-11,CMP003,7304,374,193.2
2025-03-11,CMP004,5821,233,123.43
2025-03-11,CMP005,11019,277,92.91
2025-03-12,CMP001,7113,598,180.08
2025-03-12,CMP002,11929,552,286.7
2025-03-12,CMP003,9732,517,232.95
2025-03-12,CMP004,8639,390,202.25
2025-03-12,CMP005,15069,412,114.27
2025-03-13,CMP001,8326,714,253.97
2025-03-13,CMP002,11851,546,315.93
2025-03-13,CMP003,10730,604,284.68
2025-03-13,CMP004,6430,242,161.29
2025-03-13,CMP005,11745,271,74.8
2025-03-14,CMP001,6551,452,153.55
2025-03-14,CMP002,10486,448,219.88
2025-03-14,CMP003,7387,355,147.42
2025-03-14,CMP004,7285,292,166.63
2025-03-14,CMP005,15146,322,95.99
2025-03-15,CMP001,8258,651,194.23
2025-03-15,CMP002,11013,497,258.89
2025-03-15,CMP003,9909,555,258.09
2025-03-15,CMP004,7220,320,181.01
2025-03-15,CMP005,12862,345,108.55
2025-03-16,CMP001,7347,551,212.56
2025-03-16,CMP002,12485,604,356.05
2025-03-16,CMP003,9223,560,220.3
2025-03-16,CMP004,7225,289,154.65
2025-03-16,CMP005,11150,311,96.71
2025-03-17,CMP001,6826,511,171.7
2025-03-17,CMP002,8885,367,226.65
2025-03-17,CMP003,10691,633,325.17
2025-03-17,CMP004,7807,357,245.47
2025-03-17,CMP005,15975,345,100.11
2025-03-18,CMP001,7128,476,166.14
2025-03-18,CMP002,11644,476,232.97
2025-03-18,CMP003,9845,593,300.52
2025-03-18,CMP004,6177,225,121.74
2025-03-18,CMP005,16143,441,127.95
2025-03-19,CMP001,7896,533,189.18
2025-03-19,CMP002,9741,495,289.14
2025-03-19,CMP003,9225,540,245.23
2025-03-19,CMP004,8299,339,181.73
2025-03-19,CMP005,13014,303,96.32
2025-03-20,CMP001,8116,555,167.94
2025-03-20,CMP002,10259,428,211.74
2025-03-20,CMP003,9786,508,201.04
2025-03-20,CMP004,6007,208,113.1
2025-03-20,CMP005,13396,307,91.55
2025-03-21,CMP001,7538,504,198.5
2025-03-21,CMP002,8732,338,177.81
2025-03-21,CMP003,9446,497,233.05
2025-03-21,CMP004,7478,300,179.5
2025-03-21,CMP005,13501,323,100.2
2025-03-22,CMP001,6588,440,159.24
2025-03-22,CMP002,10575,524,324.9
2025-03-22,CMP003,9262,508,253.06
2025-03-22,CMP004,7756,280,178.62
2025-03-22,CMP005,13612,389,133.07
2025-03-23,CMP001,8636,619,205.75
2025-03-23,CMP002,12921,662,399.62
2025-03-23,CMP003,10722,628,249.58
2025-03-23,CMP004,6426,229,134.58
2025-03-23,CMP005,10813,242,71.08
2025-03-24,CMP001,8689,554,192.66
2025-03-24,CMP002,10484,491,244.57
2025-03-24,CMP003,7436,428,186.31
2025-03-24,CMP004,7499,298,200.77
2025-03-24,CMP005,15140,385,111.69
2025-03-25,CMP001,8140,591,191.97
2025-03-25,CMP002,9410,416,245.91
2025-03-25,CMP003,10280,537,220.34
2025-03-25,CMP004,8216,377,216.17
2025-03-25,CMP005,12416,293,78.21
2025-03-26,CMP001,6151,454,139.4
2025-03-26,CMP002,8739,357,178.76
2025-03-26,CMP003,9158,450,182.25
2025-03-26,CMP004,6256,238,142.86
2025-03-26,CMP005,13481,324,106.43
2025-03-27,CMP001,7099,597,213.64
2025-03-27,CMP002,12643,500,302.43
2025-03-27,CMP003,10079,482,223.79
2025-03-27,CMP004,7737,311,164.57
2025-03-27,CMP005,14657,328,107.98
2025-03-28,CMP001,8199,549,166.77
2025-03-28,CMP002,10332,413,249.18
2025-03-28,CMP003,7700,367,181.9
2025-03-28,CMP004,8589,392,237.31
2025-03-28,CMP005,11168,282,94.79
2025-03-29,CMP001,7909,624,206.6
2025-03-29,CMP002,10782,474,228.51
2025-03-29,CMP003,9415,561,285.79
2025-03-29,CMP004,6004,259,158.5
2025-03-29,CMP005,11361,298,87.47
2025-03-30,CMP001,6960,526,182.38
2025-03-30,CMP002,9373,395,215.01
2025-03-30,CMP003,10638,668,286.9
2025-03-30,CMP004,8404,353,195.76
2025-03-30,CMP005,14645,408,133.22
2025-03-31,CMP001,6645,487,195.03
2025-03-31,CMP002,10417,503,271.26
2025-03-31,CMP003,8607,506,253.9
2025-03-31,CMP004,6959,243,145.88
2025-03-31,CMP005,14602,395,126.75
2025-04-01,CMP001,8155,575,198.23
2025-04-01,CMP002,14035,629,358.77
2025-04-01,CMP003,9380,561,282.03
2025-04-01,CMP004,8883,337,217.19
2025-04-01,CMP005,17516,482,150.55
2025-04-02,CMP001,7540,564,214.86
2025-04-02,CMP002,11691,484,236.77
2025-04-02,CMP003,10181,476,233.35
2025-04-02,CMP004,7188,297,175.88
2025-04-02,CMP005,17389,427,123.8
2025-04-03,CMP001,7856,647,241.34
2025-04-03,CMP002,13137,643,372.96
2025-04-03,CMP003,9413,483,240.32
2025-04-03,CMP004,8304,351,190.8
2025-04-03,CMP005,17904,456,139.64
2025-04-04,CMP001,8324,624,234.95
2025-04-04,CMP002,13430,535,315.02
2025-04-04,CMP003,10601,569,269.08
2025-04-04,CMP004,7317,325,196.09
2025-04-04,CMP005,13821,379,130.05
2025-04-05,CMP001,9135,651,211.17
2025-04-05,CMP002,12598,533,323.8
2025-04-05,CMP003,9554,584,276.24
2025-04-05,CMP004,8816,336,202.95
2025-04-05,CMP005,16962,455,126.35
2025-04-06,CMP001,10156,836,334.44
2025-04-06,CMP002,10859,461,284.47
2025-04-06,CMP003,8311,402,190.85
2025-04-06,CMP004,6901,248,160.16
2025-04-06,CMP005,17197,368,120.94
2025-04-07,CMP001,9594,648,196.23
2025-04-07,CMP002,11291,538,320.75
2025-04-07,CMP003,11554,543,217.19
2025-04-07,CMP004,7533,326,215.06
2025-04-07,CMP005,12523,326,99.56
2025-04-08,CMP001,9257,624,226.03
2025-04-08,CMP002,11866,521,297.83
2025-04-08,CMP003,8686,482,224.92
2025-04-08,CMP004,7158,327,175.13
2025-04-08,CMP005,14369,402,121.84
2025-04-09,CMP001,10180,793,272.15
2025-04-09,CMP002,12698,530,320.46
2025-04-09,CMP003,8179,413,158.22
2025-04-09,CMP004,7804,358,192.7
2025-04-09,CMP005,17186,448,149.97
2025-04-10,CMP001,7589,562,223.82
2025-04-10,CMP002,11042,477,243.15
2025-04-10,CMP003,9160,559,251.92
2025-04-10,CMP004,7600,312,200.98
2025-04-10,CMP005,14020,379,111.23
2025-04-11,CMP001,8008,601,239.1
2025-04-11,CMP002,12802,572,311.01
2025-04-11,CMP003,9775,613,294.93
2025-04-11,CMP004,9398,396,210.8
2025-04-11,CMP005,17192,409,129.99
2025-04-12,CMP001,6916,441,149.18
2025-04-12,CMP002,13977,574,294.48
2025-04-12,CMP003,9228,440,193.35
2025-04-12,CMP004,8279,294,195.91
2025-04-12,CMP005,15020,326,84.3
2025-04-13,CMP001,7957,649,223.31
2025-04-13,CMP002,11242,549,346.65
2025-04-13,CMP003,9191,508,206.0
2025-04-13,CMP004,8625,332,226.48
2025-04-13,CMP005,17566,485,126.61
2025-04-14,CMP001,8572,620,202.22
2025-04-14,CMP002,13091,619,348.0
2025-04-14,CMP003,9028,519,210.43
2025-04-14,CMP004,9024,324,170.86
2025-04-14,CMP005,12953,329,94.07
2025-04-15,CMP001,7891,506,159.07
2025-04-15,CMP002,11828,470,256.11
2025-04-15,CMP003,9792,492,219.16
2025-04-15,CMP004,8445,342,202.76
2025-04-15,CMP005,17833,477,148.78
2025-04-16,CMP001,8635,573,208.21
2025-04-16,CMP002,10433,493,248.23
2025-04-16,CMP003,8015,458,234.61
2025-04-16,CMP004,8764,339,224.31
2025-04-16,CMP005,15662,397,111.98
2025-04-17,CMP001,6875,568,208.79
2025-04-17,CMP002,13653,685,348.32
2025-04-17,CMP003,10676,654,258.77
2025-04-17,CMP004,8460,314,199.74
2025-04-17,CMP005,13054,324,111.76
2025-04-18,CMP001,7720,604,189.39
2025-04-18,CMP002,12200,567,329.12
2025-04-18,CMP003,9121,510,203.72
2025-04-18,CMP004,7359,322,170.1
2025-04-18,CMP005,15019,403,117.89
2025-04-19,CMP001,7750,629,187.19
2025-04-19,CMP002,10071,489,250.45
2025-04-19,CMP003,8081,477,227.08
2025-04-19,CMP004,7692,336,184.22
2025-04-19,CMP005,13170,377,125.64
2025-04-20,CMP001,7667,598,186.47
2025-04-20,CMP002,14197,556,349.22
2025-04-20,CMP003,9704,542,263.27
2025-04-20,CMP004,8312,382,204.67
2025-04-20,CMP005,15048,355,115.89
2025-04-21,CMP001,7923,574,191.79
2025-04-21,CMP002,13929,597,319.41
2025-04-21,CMP003,8861,538,256.52
2025-04-21,CMP004,7290,303,180.38
2025-04-21,CMP005,13663,351,118.62
2025-04-22,CMP001,9439,753,243.03
2025-04-22,CMP002,13314,626,293.47
2025-04-22,CMP003,10193,608,265.77
2025-04-22,CMP004,8443,325,200.63
2025-04-22,CMP005,16958,461,120.82
2025-04-23,CMP001,7247,490,155.93
2025-04-23,CMP002,14353,663,369.25
2025-04-23,CMP003,9498,502,257.26
2025-04-23,CMP004,8700,303,203.8
2025-04-23,CMP005,15048,360,120.28
2025-04-24,CMP001,9462,690,222.29
2025-04-24,CMP002,9920,441,249.54
2025-04-24,CMP003,9242,565,226.19
2025-04-24,CMP004,7388,313,185.66
2025-04-24,CMP005,15284,364,110.24
2025-04-25,CMP001,6834,564,204.21
2025-04-25,CMP002,9853,377,232.97
2025-04-25,CMP003,8356,408,174.14
2025-04-25,CMP004,9117,401,261.52
2025-04-25,CMP005,17950,481,126.82
2025-04-26,CMP001,8820,682,265.62
2025-04-26,CMP002,12778,528,299.76
2025-04-26,CMP003,8602,528,206.93
