booking_id,customer_id,booking_timestamp,booking_value
B000001,C00002,2025-02-16 03:46:00,1329
B000002,C00006,2025-08-04 05:14:00,1059
B000003,C00008,2025-10-18 09:07:00,205
B000004,C00009,2026-01-08 20:36:00,307
B000005,C00011,2025-02-09 22:22:00,269
B000006,C00015,2025-04-29 12:03:00,1034
B000007,C00016,2025-09-07 18:23:00,1099
B000008,C00019,2025-11-23 13:23:00,413
B000009,C00020,2025-12-05 01:02:00,783
B000010,C00024,2025-02-09 15:26:00,1443
B000011,C00025,2025-02-03 03:30:00,877
B000012,C00026,2025-07-10 00:23:00,167
B000013,C00029,2025-02-20 02:02:00,895
B000014,C00030,2025-05-17 21:07:00,1056
B000015,C00032,2025-09-13 09:51:00,689
B000016,C00040,2025-07-21 08:40:00,637
B000017,C00046,2025-11-22 16:06:00,963
B000018,C00047,2025-06-12 03:57:00,339
B000019,C00050,2025-09-03 19:19:00,1274
B000020,C00053,2025-04-30 06:38:00,1399
B000021,C00057,2025-08-25 15:41:00,383
B000022,C00058,2025-11-27 05:27:00,585
B000023,C00059,2025-05-25 07:25:00,986
B000024,C00060,2025-04-30 14:44:00,1194
B000025,C00064,2025-05-25 22:43:00,1297
B000026,C00070,2025-10-04 15:13:00,729
B000027,C00075,2025-11-30 17:23:00,383
B000028,C00080,2025-08-30 18:06:00,1131
B000029,C00087,2025-11-17 09:47:00,847
B000030,C00088,2026-01-02 23:56:00,298
B000031,C00090,2025-11-25 23:45:00,169
B000032,C00092,2025-12-06 12:49:00,854
B000033,C00094,2025-12-09 02:43:00,438
B000034,C00097,2025-03-15 19:04:00,890
B000035,C00099,2025-08-20 11:13:00,316
B000036,C00102,2025-11-07 18:37:00,1405
B000037,C00104,2025-03-31 05:27:00,486
B000038,C00108,2025-08-07 19:15:00,589
B000039,C00113,2025-08-17 23:38:00,1012
B000040,C00115,2025-11-18 14:35:00,378
B000041,C00116,2026-01-03 04:11:00,419
B000042,C00117,2025-07-07 10:34:00,1245
B000043,C00119,2025-03-20 11:41:00,795
B000044,C00120,2025-10-22 05:32:00,621
B000045,C00122,2025-04-23 19:43:00,289
B000046,C00124,2025-05-09 00:00:00,1183
B000047,C00125,2025-09-19 07:21:00,1328
B000048,C00132,2025-10-26 08:35:00,637
B000049,C00134,2025-04-07 20:27:00,1478
B000050,C00135,2025-10-23 20:32:00,434
B000051,C00136,2025-10-07 08:10:00,252
B000052,C00137,2025-11-02 01:39:00,1154
B000053,C00151,2025-11-18 01:19:00,650
B000054,C00155,2025-06-30 07:24:00,1307
B000055,C00157,2025-08-04 16:21:00,208
B000056,C00158,2025-09-02 22:10:00,1171
B000057,C00161,2025-08-11 13:57:00,872
B000058,C00162,2025-12-04 14:59:00,654
B000059,C00164,2025-06-28 02:44:00,592
B000060,C00165,2025-05-03 22:10:00,750
B000061,C00166,2025-05-21 19:55:00,637
