touchpoint_id,customer_id,timestamp,campaign_id,channel_id
T000001,C00001,2025-03-04 00:00:00,CMP005,CH03
T000002,C00001,2025-03-11 03:38:00,CMP004,CH02
T000003,C00002,2025-02-13 00:00:00,CMP001,CH01
T000004,C00005,2025-03-05 00:00:00,CMP004,CH02
T000005,C00005,2025-03-12 18:51:00,CMP004,CH02
T000006,C00006,2025-07-13 00:00:00,CMP005,CH03
T000007,C00006,2025-07-19 19:09:00,CMP004,CH02
T000008,C00006,2025-07-26 10:35:00,CMP003,CH02
T000009,C00006,2025-08-01 16:53:00,CMP001,CH01
T000010,C00007,2025-02-17 00:00:00,CMP001,CH01
T000011,C00008,2025-10-15 00:00:00,CMP003,CH02
T000012,C00009,2025-12-24 00:00:00,CMP004,CH02
T000013,C00009,2025-12-26 10:40:00,CMP001,CH01
T000014,C00009,2026-01-03 05:22:00,CMP001,CH01
T000015,C00009,2026-01-06 19:24:00,CMP003,CH02
T000016,C00011,2025-01-25 00:00:00,CMP004,CH02
T000017,C00011,2025-01-29 14:06:00,CMP002,CH01
T000018,C00011,2025-02-06 06:35:00,CMP003,CH02
T000019,C00012,2025-07-01 00:00:00,CMP004,CH02
T000020,C00014,2025-03-20 00:00:00,CMP002,CH01
T000021,C00014,2025-03-26 15:38:00,CMP002,CH01
T000022,C00015,2025-04-24 00:00:00,CMP001,CH01
T000023,C00015,2025-04-28 08:16:00,CMP003,CH02
T000024,C00016,2025-08-19 00:00:00,CMP001,CH01
T000025,C00016,2025-08-21 07:38:00,CMP001,CH01
T000026,C00016,2025-08-23 20:25:00,CMP005,CH03
T000027,C00016,2025-08-29 05:30:00,CMP001,CH01
T000028,C00016,2025-09-04 17:49:00,CMP001,CH01
T000029,C00017,2025-08-07 00:00:00,CMP004,CH02
T000030,C00018,2025-12-26 00:00:00,CMP003,CH02
T000031,C00018,2025-12-27 11:31:00,CMP005,CH03
T000032,C00018,2025-12-31 18:36:00,CMP003,CH02
T000033,C00019,2025-11-05 00:00:00,CMP002,CH01
T000034,C00019,2025-11-08 09:26:00,CMP004,CH02
T000035,C00019,2025-11-10 19:40:00,CMP002,CH01
T000036,C00019,2025-11-15 04:41:00,CMP001,CH01
T000037,C00019,2025-11-19 14:14:00,CMP002,CH01
T000038,C00020,2025-11-22 00:00:00,CMP003,CH02
T000039,C00020,2025-11-29 16:37:00,CMP002,CH01
T000040,C00020,2025-12-03 08:41:00,CMP002,CH01
T000041,C00022,2025-01-13 00:00:00,CMP005,CH03
T000042,C00022,2025-01-17 14:00:00,CMP004,CH02
T000043,C00022,2025-01-22 05:48:00,CMP004,CH02
T000044,C00023,2025-06-08 00:00:00,CMP003,CH02
T000045,C00023,2025-06-15 06:52:00,CMP005,CH03
T000046,C00024,2025-02-07 00:00:00,CMP002,CH01
T000047,C00025,2025-01-27 00:00:00,CMP005,CH03
T000048,C00025,2025-01-30 19:01:00,CMP001,CH01
T000049,C00026,2025-07-02 00:00:00,CMP002,CH01
T000050,C00026,2025-07-07 13:28:00,CMP002,CH01
T000051,C00027,2025-06-05 00:00:00,CMP003,CH02
T000052,C00027,2025-06-11 13:44:00,CMP005,CH03
T000053,C00028,2025-02-25 00:00:00,CMP002,CH01
T000054,C00028,2025-03-03 00:52:00,CMP001,CH01
T000055,C00029,2025-01-29 00:00:00,CMP002,CH01
T000056,C00029,2025-02-04 18:37:00,CMP001,CH01
T000057,C00029,2025-02-11 06:59:00,CMP001,CH01
T000058,C00029,2025-02-16 05:06:00,CMP005,CH03
T000059,C00030,2025-05-01 00:00:00,CMP001,CH01
T000060,C00030,2025-05-05 06:36:00,CMP004,CH02
T000061,C00030,2025-05-12 20:20:00,CMP005,CH03
T000062,C00030,2025-05-16 12:51:00,CMP004,CH02
T000063,C00031,2025-10-14 00:00:00,CMP004,CH02
T000064,C00031,2025-10-21 16:24:00,CMP004,CH02
T000065,C00032,2025-09-03 00:00:00,CMP003,CH02
T000066,C00032,2025-09-07 17:29:00,CMP003,CH02
T000067,C00032,2025-09-11 15:34:00,CMP005,CH03
T000068,C00033,2025-03-05 00:00:00,CMP004,CH02
T000069,C00034,2025-01-18 00:00:00,CMP002,CH01
T000070,C00034,2025-01-21 11:35:00,CMP003,CH02
T000071,C00035,2025-11-08 00:00:00,CMP001,CH01
T000072,C00037,2025-01-13 00:00:00,CMP002,CH01
T000073,C00040,2025-07-09 00:00:00,CMP004,CH02
T000074,C00040,2025-07-13 09:25:00,CMP001,CH01
T000075,C00040,2025-07-19 03:09:00,CMP003,CH02
T000076,C00041,2025-11-18 00:00:00,CMP003,CH02
T000077,C00041,2025-11-21 15:00:00,CMP004,CH02
T000078,C00042,2025-12-05 00:00:00,CMP001,CH01
T000079,C00043,2025-07-22 00:00:00,CMP002,CH01
T000080,C00043,2025-07-28 18:09:00,CMP002,CH01
T000081,C00044,2025-01-29 00:00:00,CMP002,CH01
T000082,C00044,2025-02-03 05:24:00,CMP005,CH03
T000083,C00044,2025-02-04 07:06:00,CMP001,CH01
T000084,C00045,2025-01-29 00:00:00,CMP001,CH01
T000085,C00045,2025-02-01 13:04:00,CMP002,CH01
T000086,C00045,2025-02-09 07:33:00,CMP001,CH01
T000087,C00046,2025-11-17 00:00:00,CMP003,CH02
T000088,C00046,2025-11-19 02:54:00,CMP001,CH01
T000089,C00046,2025-11-21 00:41:00,CMP003,CH02
T000090,C00047,2025-06-05 00:00:00,CMP003,CH02
T000091,C00047,2025-06-09 18:39:00,CMP001,CH01
T000092,C00049,2025-10-15 00:00:00,CMP004,CH02
T000093,C00049,2025-10-19 04:12:00,CMP003,CH02
T000094,C00049,2025-10-21 06:15:00,CMP002,CH01
T000095,C00050,2025-08-27 00:00:00,CMP005,CH03
T000096,C00050,2025-08-29 20:26:00,CMP004,CH02
T000097,C00050,2025-09-02 07:12:00,CMP002,CH01
T000098,C00051,2025-09-29 00:00:00,CMP003,CH02
T000099,C00051,2025-10-01 00:26:00,CMP001,CH01
T000100,C00051,2025-10-02 17:12:00,CMP005,CH03
T000101,C00051,2025-10-10 02:19:00,CMP002,CH01
T000102,C00053,2025-04-25 00:00:00,CMP004,CH02
T000103,C00053,2025-04-27 06:26:00,CMP002,CH01
T000104,C00053,2025-04-29 05:06:00,CMP002,CH01
T000105,C00054,2025-11-17 00:00:00,CMP003,CH02
T000106,C00055,2025-05-21 00:00:00,CMP001,CH01
T000107,C00055,2025-05-23 04:14:00,CMP004,CH02
T000108,C00056,2025-04-27 00:00:00,CMP003,CH02
T000109,C00056,2025-04-30 04:50:00,CMP004,CH02
T000110,C00057,2025-08-21 00:00:00,CMP005,CH03
T000111,C00057,2025-08-23 12:56:00,CMP003,CH02
T000112,C00058,2025-11-16 00:00:00,CMP003,CH02
T000113,C00058,2025-11-23 05:59:00,CMP001,CH01
T000114,C00058,2025-11-26 01:25:00,CMP004,CH02
T000115,C00059,2025-05-08 00:00:00,CMP004,CH02
T000116,C00059,2025-05-14 20:27:00,CMP004,CH02
T000117,C00059,2025-05-21 13:54:00,CMP003,CH02
T000118,C00060,2025-04-24 00:00:00,CMP001,CH01
T000119,C00060,2025-04-28 08:01:00,CMP003,CH02
T000120,C00061,2025-09-03 00:00:00,CMP001,CH01
T000121,C00061,2025-09-06 10:44:00,CMP002,CH01
T000122,C00062,2025-11-24 00:00:00,CMP005,CH03
T000123,C00062,2025-11-30 05:49:00,CMP002,CH01
T000124,C00063,2025-07-02 00:00:00,CMP003,CH02
T000125,C00064,2025-05-17 00:00:00,CMP005,CH03
T000126,C00064,2025-05-19 14:10:00,CMP001,CH01
T000127,C00064,2025-05-22 13:35:00,CMP002,CH01
T000128,C00065,2025-09-18 00:00:00,CMP002,CH01
T000129,C00066,2025-06-26 00:00:00,CMP003,CH02
T000130,C00066,2025-07-01 18:31:00,CMP002,CH01
T000131,C00068,2025-10-20 00:00:00,CMP001,CH01
T000132,C00068,2025-10-27 11:31:00,CMP004,CH02
T000133,C00068,2025-10-30 22:35:00,CMP003,CH02
T000134,C00068,2025-11-06 02:51:00,CMP004,CH02
T000135,C00069,2025-09-03 00:00:00,CMP003,CH02
T000136,C00070,2025-09-28 00:00:00,CMP002,CH01
T000137,C00070,2025-10-01 12:41:00,CMP002,CH01
T000138,C00072,2025-10-12 00:00:00,CMP002,CH01
T000139,C00073,2025-01-08 00:00:00,CMP003,CH02
T000140,C00074,2025-09-18 00:00:00,CMP003,CH02
T000141,C00075,2025-11-23 00:00:00,CMP003,CH02
T000142,C00075,2025-11-28 14:14:00,CMP005,CH03
T000143,C00077,2025-08-30 00:00:00,CMP003,CH02
T000144,C00078,2025-11-22 00:00:00,CMP002,CH01
T000145,C00079,2025-05-29 00:00:00,CMP003,CH02
T000146,C00079,2025-05-31 05:00:00,CMP002,CH01
T000147,C00079,2025-06-01 07:39:00,CMP002,CH01
T000148,C00080,2025-08-29 00:00:00,CMP002,CH01
T000149,C00083,2025-03-24 00:00:00,CMP002,CH01
T000150,C00083,2025-03-30 13:48:00,CMP004,CH02
T000151,C00087,2025-11-16 00:00:00,CMP004,CH02
T000152,C00088,2025-12-30 00:00:00,CMP001,CH01
T000153,C00090,2025-11-13 00:00:00,CMP002,CH01
T000154,C00090,2025-11-18 08:45:00,CMP001,CH01
T000155,C00090,2025-11-22 13:58:00,CMP003,CH02
T000156,C00091,2025-08-20 00:00:00,CMP001,CH01
T000157,C00092,2025-12-01 00:00:00,CMP003,CH02
T000158,C00092,2025-12-02 22:57:00,CMP001,CH01
T000159,C00094,2025-11-24 00:00:00,CMP002,CH01
T000160,C00094,2025-11-28 10:51:00,CMP001,CH01
T000161,C00094,2025-11-30 00:40:00,CMP003,CH02
T000162,C00094,2025-12-07 17:41:00,CMP004,CH02
T000163,C00097,2025-03-05 00:00:00,CMP002,CH01
T000164,C00097,2025-03-12 13:39:00,CMP002,CH01
T000165,C00098,2025-01-05 00:00:00,CMP001,CH01
T000166,C00098,2025-01-12 00:16:00,CMP002,CH01
T000167,C00099,2025-08-12 00:00:00,CMP002,CH01
T000168,C00099,2025-08-17 14:00:00,CMP001,CH01
T000169,C00100,2025-06-19 00:00:00,CMP003,CH02
T000170,C00100,2025-06-20 10:46:00,CMP003,CH02
T000171,C00100,2025-06-25 00:05:00,CMP001,CH01
T000172,C00102,2025-10-28 00:00:00,CMP001,CH01
T000173,C00102,2025-10-29 03:22:00,CMP001,CH01
T000174,C00102,2025-11-05 04:03:00,CMP003,CH02
T000175,C00103,2025-12-28 00:00:00,CMP002,CH01
T000176,C00103,2026-01-03 23:49:00,CMP001,CH01
T000177,C00104,2025-03-23 00:00:00,CMP003,CH02
T000178,C00104,2025-03-29 05:08:00,CMP003,CH02
T000179,C00105,2025-10-08 00:00:00,CMP001,CH01
T000180,C00105,2025-10-12 20:28:00,CMP003,CH02
T000181,C00106,2025-01-30 00:00:00,CMP005,CH03
T000182,C00108,2025-07-27 00:00:00,CMP001,CH01
T000183,C00108,2025-07-30 23:55:00,CMP003,CH02
T000184,C00108,2025-08-05 10:57:00,CMP004,CH02
T000185,C00110,2025-03-23 00:00:00,CMP004,CH02
T000186,C00111,2025-04-03 00:00:00,CMP002,CH01
T000187,C00111,2025-04-09 17:35:00,CMP003,CH02
T000188,C00113,2025-08-16 00:00:00,CMP002,CH01
T000189,C00114,2025-07-03 00:00:00,CMP004,CH02
