booking_id,customer_id,booking_timestamp,booking_value,attributed_campaign_id
B000001,C00002,2025-07-04 04:00:00,348.89,CMP004
B000002,C00002,2025-08-18 11:00:00,401.82,CMP002
B000003,C00002,2025-11-16 13:00:00,484.98,CMP001
B000004,C00006,2025-09-24 20:00:00,168.72,CMP005
B000005,C00006,2025-10-25 03:00:00,366.08,CMP001
B000006,C00006,2025-11-08 08:00:00,206.58,CMP004
B000007,C00006,2025-11-22 10:00:00,304.8,CMP002
B000008,C00007,2025-03-31 04:00:00,246.42,CMP005
B000009,C00008,2025-10-07 06:00:00,236.63,CMP003
B000010,C00009,2025-10-22 10:00:00,240.27,
B000011,C00009,2025-11-12 17:00:00,679.5,CMP003
B000012,C00009,2025-12-04 04:00:00,574.9,CMP001
B000013,C00009,2025-12-18 06:00:00,509.63,CMP004
B000014,C00011,2025-09-03 09:00:00,236.0,CMP002
B000015,C00012,2025-12-23 05:00:00,260.03,CMP005
B000016,C00015,2025-08-08 09:00:00,541.58,
B000017,C00015,2025-08-29 10:00:00,580.57,CMP002
B000018,C00015,2025-10-13 21:00:00,934.09,
B000019,C00016,2025-05-26 01:00:00,347.56,CMP002
B000020,C00016,2025-07-10 03:00:00,438.02,CMP005
B000021,C00016,2025-08-24 08:00:00,256.67,CMP002
B000022,C00016,2025-08-31 15:00:00,505.8,CMP001
B000023,C00017,2025-07-13 03:00:00,497.69,CMP002
B000024,C00018,2025-08-12 16:00:00,656.04,CMP004
B000025,C00019,2025-07-08 02:00:00,412.1,CMP003
B000026,C00020,2025-02-25 04:00:00,184.66,CMP003
B000027,C00020,2025-03-04 11:00:00,211.79,CMP002
B000028,C00020,2025-04-18 18:00:00,282.15,CMP001
B000029,C00022,2025-08-24 13:00:00,694.0,CMP001
B000030,C00023,2025-07-29 17:00:00,367.39,CMP003
B000031,C00024,2025-11-24 15:00:00,265.55,CMP001
B000032,C00024,2025-12-01 23:00:00,117.99,CMP001
B000033,C00025,2025-08-11 11:00:00,336.9,CMP002
B000034,C00025,2025-08-25 15:00:00,278.82,CMP004
B000035,C00025,2025-09-01 23:00:00,273.03,CMP003
B000036,C00025,2025-09-09 04:00:00,349.33,CMP004
B000037,C00028,2025-06-23 03:00:00,189.98,CMP003
B000038,C00029,2025-05-24 08:00:00,122.43,CMP003
B000039,C00029,2025-07-08 13:00:00,587.96,CMP001
B000040,C00029,2025-09-06 19:00:00,252.75,CMP003
B000041,C00030,2025-07-27 16:00:00,196.25,CMP003
B000042,C00030,2025-08-10 17:00:00,149.91,CMP003
B000043,C00030,2025-09-25 03:00:00,115.0,
B000044,C00030,2025-10-16 07:00:00,710.66,
B000045,C00032,2025-05-10 16:00:00,404.54,CMP002
B000046,C00032,2025-05-18 00:00:00,143.77,CMP003
B000047,C00032,2025-06-08 07:00:00,386.28,CMP004
B000048,C00032,2025-07-23 15:00:00,397.94,CMP004
B000049,C00035,2025-12-17 18:00:00,243.22,CMP002
B000050,C00040,2025-05-15 20:00:00,142.31,CMP004
B000051,C00040,2025-08-14 03:00:00,356.78,
B000052,C00040,2025-09-04 15:00:00,151.28,CMP001
B000053,C00040,2025-12-03 17:00:00,698.33,CMP005
B000054,C00041,2025-03-15 13:00:00,278.98,CMP002
B000055,C00042,2025-01-24 12:00:00,195.77,CMP004
B000056,C00043,2025-08-31 08:00:00,586.25,CMP003
B000057,C00045,2025-11-02 04:00:00,509.68,CMP003
B000058,C00046,2025-06-30 12:00:00,473.23,CMP003
B000059,C00046,2025-07-30 16:00:00,643.31,CMP002
B000060,C00046,2025-09-14 00:00:00,486.86,
B000061,C00046,2025-10-05 06:00:00,269.88,CMP001
B000062,C00047,2025-10-28 08:00:00,216.89,
B000063,C00047,2025-12-27 10:00:00,190.13,CMP002
B000064,C00049,2025-06-01 12:00:00,181.05,CMP003
B000065,C00050,2025-12-02 02:00:00,180.82,CMP001
B000066,C00051,2025-11-14 13:00:00,706.44,CMP002
B000067,C00053,2025-06-19 04:00:00,629.81,CMP004
B000068,C00055,2025-02-28 11:00:00,258.61,CMP002
B000069,C00057,2025-05-06 15:00:00,188.29,
B000070,C00058,2025-08-28 20:00:00,348.63,
B000071,C00059,2025-08-07 01:00:00,310.69,CMP005
B000072,C00059,2025-08-21 10:00:00,973.48,CMP002
B000073,C00060,2025-09-28 19:00:00,538.42,CMP004
B000074,C00061,2025-11-30 18:00:00,634.94,
B000075,C00063,2025-03-19 07:00:00,156.68,CMP005
B000076,C00064,2025-11-11 04:00:00,280.8,CMP003
B000077,C00064,2025-12-11 15:00:00,310.79,CMP005
B000078,C00064,2025-12-25 16:00:00,200.43,CMP002
B000079,C00068,2025-06-24 13:00:00,449.75,CMP002
B000080,C00070,2025-03-07 08:00:00,461.16,CMP001
B000081,C00070,2025-04-06 13:00:00,774.76,CMP003
B000082,C00070,2025-05-06 23:00:00,165.57,CMP004
B000083,C00074,2025-04-20 20:00:00,355.39,CMP003
B000084,C00075,2025-11-02 09:00:00,144.78,CMP003
B000085,C00075,2025-11-09 21:00:00,331.42,CMP001
B000086,C00075,2025-11-24 03:00:00,521.17,CMP001
B000087,C00080,2025-05-26 15:00:00,377.97,CMP003
B000088,C00080,2025-07-11 01:00:00,100.0,CMP004
B000089,C00080,2025-07-25 07:00:00,120.05,CMP003
B000090,C00080,2025-10-23 12:00:00,127.37,CMP001
B000091,C00083,2025-10-24 08:00:00,1128.37,CMP005
B000092,C00087,2025-09-30 18:00:00,275.42,CMP001
B000093,C00087,2025-10-07 20:00:00,173.73,CMP001
B000094,C00087,2025-10-15 06:00:00,341.22,CMP001
B000095,C00088,2025-12-03 11:00:00,218.68,CMP003
B000096,C00090,2025-07-28 02:00:00,389.87,CMP002
B000097,C00090,2025-08-27 11:00:00,281.39,CMP002
B000098,C00090,2025-09-10 17:00:00,393.76,CMP002
B000099,C00090,2025-09-18 05:00:00,773.51,CMP001
B000100,C00092,2025-09-15 06:00:00,265.21,CMP001
B000101,C00092,2025-09-29 10:00:00,226.07,CMP001
B000102,C00094,2025-06-06 01:00:00,175.53,CMP001
B000103,C00097,2025-02-19 19:00:00,346.58,
B000104,C00097,2025-05-20 23:00:00,450.89,
B000105,C00097,2025-08-19 05:00:00,218.3,
B000106,C00097,2025-10-03 16:00:00,479.66,CMP001
B000107,C00098,2025-12-25 09:00:00,372.14,CMP001
B000108,C00099,2025-03-13 07:00:00,280.7,CMP003
B000109,C00102,2025-10-10 05:00:00,697.4,CMP001
B000110,C00102,2025-12-09 13:00:00,100.0,CMP002
B000111,C00102,2025-12-23 17:00:00,128.19,CMP004
B000112,C00103,2025-05-02 17:00:00,506.24,CMP004
B000113,C00104,2025-12-06 09:00:00,303.74,CMP003
B000114,C00105,2025-07-02 04:00:00,113.03,
B000115,C00108,2025-08-10 17:00:00,200.29,CMP003
B000116,C00108,2025-09-09 21:00:00,451.52,CMP004
B000117,C00108,2025-10-01 00:00:00,153.31,CMP001
B000118,C00108,2025-10-08 02:00:00,694.21,CMP001
B000119,C00113,2025-03-22 05:00:00,319.53,
B000120,C00113,2025-05-21 07:00:00,233.14,CMP001
B000121,C00113,2025-06-20 17:00:00,756.49,CMP002
B000122,C00113,2025-07-05 04:00:00,263.82,CMP005
B000123,C00115,2025-04-28 11:00:00,249.68,CMP003
B000124,C00116,2025-05-31 01:00:00,186.07,CMP001
B000125,C00116,2025-06-21 13:00:00,144.74,CMP005
B000126,C00116,2025-07-05 17:00:00,174.77,CMP001
B000127,C00116,2025-07-12 20:00:00,534.81,CMP002
B000128,C00117,2025-04-01 07:00:00,542.64,
B000129,C00117,2025-06-30 18:00:00,235.78,CMP001
B000130,C00118,2025-10-23 14:00:00,423.05,CMP003
B000131,C00119,2025-12-08 20:00:00,142.52,CMP005
B000132,C00120,2025-02-11 14:00:00,641.42,CMP005
B000133,C00120,2025-03-14 02:00:00,100.0,CMP002
B000134,C00121,2025-05-13 01:00:00,240.24,CMP003
B000135,C00122,2025-10-20 15:00:00,100.0,CMP001
B000136,C00122,2025-11-11 00:00:00,136.25,CMP001
B000137,C00123,2025-09-01 14:00:00,175.4,CMP003
B000138,C00124,2025-05-25 06:00:00,311.81,CMP003
B000139,C00124,2025-06-15 08:00:00,833.65,
B000140,C00124,2025-09-13 15:00:00,210.78,
B000141,C00125,2025-08-02 11:00:00,1081.82,CMP005
B000142,C00125,2025-08-23 14:00:00,618.63,CMP002
B000143,C00128,2025-10-22 11:00:00,301.25,CMP003
B000144,C00129,2025-10-13 15:00:00,364.38,CMP001
B000145,C00132,2025-11-28 02:00:00,172.42,CMP001
B000146,C00134,2025-11-15 20:00:00,153.96,CMP001
B000147,C00135,2025-10-13 11:00:00,1610.38,CMP004
B000148,C00135,2025-11-03 20:00:00,1047.83,CMP004
B000149,C00136,2025-10-23 18:00:00,320.76,CMP002
B000150,C00136,2025-10-30 22:00:00,129.14,CMP001
B000151,C00136,2025-12-15 08:00:00,615.8,CMP004
B000152,C00137,2025-04-13 19:00:00,244.97,CMP001
B000153,C00137,2025-05-13 21:00:00,160.57,CMP005
B000154,C00137,2025-06-04 08:00:00,565.41,CMP004
B000155,C00137,2025-06-18 09:00:00,116.81,CMP003
B000156,C00140,2025-12-01 14:00:00,266.51,
B000157,C00142,2025-03-28 20:00:00,763.48,CMP001
B000158,C00143,2025-12-09 18:00:00,103.73,CMP001
B000159,C00145,2025-06-09 11:00:00,100.0,
B000160,C00147,2025-08-26 09:00:00,100.0,CMP003
B000161,C00151,2025-11-28 03:00:00,616.44,
B000162,C00152,2025-03-22 17:00:00,726.46,
B000163,C00154,2025-03-18 04:00:00,1030.5,CMP004
B000164,C00155,2025-02-23 04:00:00,439.75,CMP002
B000165,C00155,2025-04-24 13:00:00,354.23,
B000166,C00157,2025-09-21 07:00:00,191.04,CMP001
B000167,C00157,2025-11-20 09:00:00,129.27,CMP002
B000168,C00161,2025-07-19 08:00:00,296.6,CMP004
B000169,C00161,2025-07-26 20:00:00,169.53,CMP003
B000170,C00161,2025-10-25 06:00:00,412.49,CMP004
B000171,C00161,2025-12-09 16:00:00,586.79,CMP002
B000172,C00162,2025-03-05 08:00:00,110.37,CMP001
B000173,C00162,2025-05-04 17:00:00,1115.44,CMP002
B000174,C00162,2025-08-02 20:00:00,316.08,CMP002
B000175,C00163,2025-04-21 20:00:00,307.26,
B000176,C00164,2025-04-06 09:00:00,265.12,CMP001
B000177,C00164,2025-04-13 21:00:00,860.77,CMP004
B000178,C00165,2025-05-08 01:00:00,279.82,CMP002
B000179,C00166,2025-12-01 20:00:00,378.65,CMP004
B000180,C00167,2025-08-21 10:00:00,472.11,
B000181,C00169,2025-10-10 04:00:00,100.0,CMP001
B000182,C00169,2025-10-24 16:00:00,261.33,CMP001
B000183,C00170,2025-02-21 08:00:00,198.04,CMP005
B000184,C00173,2025-04-06 19:00:00,146.1,CMP002
B000185,C00175,2025-10-12 09:00:00,153.75,CMP004
B000186,C00177,2025-04-07 07:00:00,787.74,CMP005
B000187,C00179,2025-11-30 02:00:00,268.44,
B000188,C00180,2025-09-04 19:00:00,676.61,
B000189,C00182,2025-02-18 15:00:00,302.05,CMP003
B000190,C00188,2025-04-23 18:00:00,120.02,CMP004
B000191,C00189,2025-06-30 07:00:00,226.12,
B000192,C00189,2025-07-14 08:00:00,122.89,CMP004
B000193,C00189,2025-07-21 19:00:00,361.09,CMP004
B000194,C00190,2025-05-20 01:00:00,302.24,CMP001
B000195,C00192,2025-08-03 06:00:00,183.43,CMP002
B000196,C00194,2025-06-16 11:00:00,217.56,CMP002
B000197,C00194,2025-06-30 18:00:00,376.12,CMP001
B000198,C00194,2025-07-15 03:00:00,134.95,CMP002
B000199,C00194,2025-09-13 06:00:00,100.0,CMP001
B000200,C00196,2025-02-16 07:00:00,181.36,CMP005
B000201,C00197,2025-06-12 11:00:00,483.73,CMP001
B000202,C00197,2025-07-12 14:00:00,127.19,CMP004
B000203,C00197,2025-07-26 17:00:00,292.48,CMP004
B000204,C00197,2025-08-26 03:00:00,245.57,CMP003
B000205,C00198,2025-10-15 12:00:00,217.77,
