customer_id,country,signup_date,journey_type
C00001,Indonesia,2025-11-24,non_converter
C00002,Indonesia,2025-05-21,converter
C00003,Thailand,2025-03-13,no_touchpoint
C00004,Thailand,2025-12-13,no_touchpoint
C00005,Indonesia,2025-10-07,non_converter
C00006,Indonesia,2025-08-05,converter
C00007,Indonesia,2025-02-17,non_converter
C00008,Thailand,2025-09-16,converter
C00009,Indonesia,2025-10-15,converter
C00010,Thailand,2025-11-29,no_touchpoint
C00011,Indonesia,2025-08-03,converter
C00012,Indonesia,2025-10-29,non_converter
C00013,Thailand,2025-01-04,no_touchpoint
C00014,Thailand,2025-03-23,non_converter
C00015,Indonesia,2025-06-24,converter
C00016,Singapore,2025-04-21,converter
C00017,Indonesia,2025-06-22,non_converter
C00018,Indonesia,2025-07-14,non_converter
C00019,Thailand,2025-06-26,converter
C00020,Thailand,2025-01-23,converter
C00021,Indonesia,2025-10-02,no_touchpoint
C00022,Indonesia,2025-07-13,non_converter
C00023,Thailand,2025-05-31,non_converter
C00024,Singapore,2025-11-13,converter
C00025,Indonesia,2025-07-05,converter
C00026,Indonesia,2025-12-27,converter
C00027,Indonesia,2025-12-05,non_converter
C00028,Singapore,2025-05-29,non_converter
C00029,Singapore,2025-04-30,converter
C00030,Indonesia,2025-07-14,converter
C00031,Thailand,2025-11-22,non_converter
C00032,Indonesia,2025-03-25,converter
C00033,Thailand,2025-04-18,non_converter
C00034,Singapore,2025-12-26,non_converter
C00035,Indonesia,2025-11-28,non_converter
C00036,Indonesia,2025-11-22,no_touchpoint
C00037,Indonesia,2025-05-06,non_converter
C00038,Indonesia,2025-07-14,no_touchpoint
C00039,Thailand,2025-11-24,no_touchpoint
C00040,Thailand,2025-04-23,converter
C00041,Indonesia,2025-01-29,non_converter
C00042,Thailand,2025-01-17,non_converter
C00043,Indonesia,2025-07-25,non_converter
C00044,Singapore,2025-04-19,non_converter
C00045,Singapore,2025-10-18,non_converter
C00046,Indonesia,2025-06-11,converter
C00047,Indonesia,2025-09-13,converter
C00048,Indonesia,2025-11-26,no_touchpoint
C00049,Indonesia,2025-05-16,non_converter
C00050,Indonesia,2025-10-15,converter
C00051,Indonesia,2025-10-27,non_converter
C00052,Indonesia,2025-10-26,no_touchpoint
C00053,Singapore,2025-04-23,converter
C00054,Indonesia,2025-03-12,non_converter
C00055,Thailand,2025-02-16,non_converter
C00056,Indonesia,2025-02-26,non_converter
C00057,Thailand,2025-03-23,converter
C00058,Indonesia,2025-08-05,converter
C00059,Indonesia,2025-07-17,converter
C00060,Indonesia,2025-08-28,converter
C00061,Singapore,2025-10-11,non_converter
C00062,Thailand,2025-01-06,non_converter
C00063,Thailand,2025-02-28,non_converter
C00064,Thailand,2025-10-02,converter
C00065,Indonesia,2025-11-25,non_converter
C00066,Indonesia,2025-05-31,non_converter
C00067,Indonesia,2025-08-21,no_touchpoint
C00068,Singapore,2025-05-15,non_converter
C00069,Indonesia,2025-04-02,non_converter
C00070,Singapore,2025-02-24,converter
C00071,Thailand,2025-06-02,no_touchpoint
C00072,Thailand,2025-09-17,non_converter
C00073,Indonesia,2025-03-20,non_converter
C00074,Indonesia,2025-03-24,non_converter
C00075,Singapore,2025-09-29,converter
C00076,Indonesia,2025-11-03,no_touchpoint
C00077,Indonesia,2025-01-10,non_converter
C00078,Singapore,2025-07-05,non_converter
C00079,Indonesia,2025-06-07,non_converter
C00080,Singapore,2025-05-04,converter
C00081,Indonesia,2025-02-10,no_touchpoint
C00082,Thailand,2025-09-06,no_touchpoint
C00083,Thailand,2025-09-30,non_converter
C00084,Thailand,2025-03-07,no_touchpoint
C00085,Indonesia,2025-10-09,no_touchpoint
C00086,Singapore,2025-09-28,no_touchpoint
C00087,Singapore,2025-08-05,converter
C00088,Thailand,2025-10-04,converter
C00089,Indonesia,2025-12-20,no_touchpoint
C00090,Indonesia,2025-06-09,converter
C00091,Thailand,2025-12-10,non_converter
C00092,Singapore,2025-08-13,converter
C00093,Indonesia,2025-08-20,no_touchpoint
C00094,Indonesia,2025-04-26,converter
C00095,Indonesia,2025-01-11,no_touchpoint
C00096,Indonesia,2025-04-28,no_touchpoint
C00097,Indonesia,2025-01-04,converter
C00098,Indonesia,2025-11-20,non_converter
C00099,Singapore,2025-02-04,converter
C00100,Indonesia,2025-06-19,non_converter
C00101,Indonesia,2025-05-02,no_touchpoint
C00102,Indonesia,2025-09-06,converter
C00103,Thailand,2025-03-09,non_converter
C00104,Indonesia,2025-10-20,converter
C00105,Thailand,2025-05-05,non_converter
C00106,Indonesia,2025-07-28,non_converter
C00107,Thailand,2025-02-19,no_touchpoint
C00108,Indonesia,2025-07-01,converter
C00109,Singapore,2025-08-28,no_touchpoint
C00110,Thailand,2025-01-28,non_converter
C00111,Indonesia,2025-11-27,non_converter
C00112,Thailand,2025-07-26,no_touchpoint
C00113,Indonesia,2025-02-25,converter
C00114,Indonesia,2025-04-08,non_converter
C00115,Indonesia,2025-03-13,converter
C00116,Indonesia,2025-05-23,converter
C00117,Indonesia,2025-02-08,converter
C00118,Indonesia,2025-10-09,non_converter
C00119,Singapore,2025-11-30,converter
C00120,Singapore,2025-01-08,converter
C00121,Indonesia,2025-05-02,non_converter
C00122,Indonesia,2025-09-06,converter
C00123,Singapore,2025-07-25,non_converter
C00124,Indonesia,2025-03-26,converter
C00125,Indonesia,2025-07-19,converter
C00126,Indonesia,2025-08-21,no_touchpoint
C00127,Singapore,2025-12-23,non_converter
C00128,Thailand,2025-10-12,non_converter
C00129,Indonesia,2025-09-07,non_converter
C00130,Indonesia,2025-06-01,no_touchpoint
C00131,Indonesia,2025-01-30,no_touchpoint
C00132,Indonesia,2025-10-05,converter
C00133,Indonesia,2025-06-10,non_converter
C00134,Indonesia,2025-10-27,converter
C00135,Indonesia,2025-09-29,converter
C00136,Indonesia,2025-09-18,converter
C00137,Indonesia,2025-04-06,converter
C00138,Thailand,2025-02-04,no_touchpoint
C00139,Indonesia,2025-05-01,non_converter
C00140,Indonesia,2025-10-19,non_converter
C00141,Indonesia,2025-11-01,no_touchpoint
C00142,Indonesia,2025-02-11,non_converter
C00143,Indonesia,2025-10-26,non_converter
C00144,Singapore,2025-06-11,no_touchpoint
C00145,Thailand,2025-04-15,non_converter
C00146,Indonesia,2025-06-10,no_touchpoint
C00147,Indonesia,2025-07-22,non_converter
C00148,Indonesia,2025-11-27,no_touchpoint
C00149,Singapore,2025-06-11,non_converter
C00150,Indonesia,2025-02-07,no_touchpoint
C00151,Singapore,2025-11-15,converter
C00152,Indonesia,2025-02-21,non_converter
C00153,Indonesia,2025-04-20,no_touchpoint
C00154,Singapore,2025-03-09,non_converter
C00155,Singapore,2025-02-05,converter
C00156,Indonesia,2025-07-09,no_touchpoint
C00157,Thailand,2025-08-13,converter
C00158,Indonesia,2025-12-27,converter
C00159,Indonesia,2025-12-01,no_touchpoint
C00160,Thailand,2025-12-08,non_converter
C00161,Singapore,2025-06-03,converter
C00162,Singapore,2025-02-23,converter
C00163,Indonesia,2025-03-10,non_converter
C00164,Thailand,2025-02-24,converter
C00165,Indonesia,2025-03-21,converter
C00166,Indonesia,2025-11-06,converter
C00167,Indonesia,2025-06-25,non_converter
C00168,Singapore,2025-11-21,non_converter
C00169,Indonesia,2025-09-16,converter
C00170,Indonesia,2025-01-27,non_converter
C00171,Thailand,2025-08-05,non_converter
C00172,Indonesia,2025-01-23,non_converter
C00173,Thailand,2025-03-08,non_converter
C00174,Indonesia,2025-05-15,no_touchpoint
C00175,Indonesia,2025-08-15,non_converter
C00176,Indonesia,2025-08-07,non_converter
C00177,Indonesia,2025-02-27,converter
C00178,Singapore,2025-12-20,converter
C00179,Indonesia,2025-10-07,non_converter
C00180,Indonesia,2025-07-09,converter
C00181,Indonesia,2025-03-17,no_touchpoint
C00182,Indonesia,2025-01-22,non_converter
C00183,Singapore,2025-01-21,no_touchpoint
C00184,Thailand,2025-04-18,no_touchpoint
C00185,Indonesia,2025-12-08,converter
C00186,Singapore,2025-10-14,non_converter
C00187,Singapore,2025-07-28,non_converter
