touchpoint_id,customer_id,timestamp,channel_id,campaign_id
T000001,C00001,2025-11-24 13:00:00,CH01,CMP002
T000002,C00001,2025-11-26 16:00:00,CH01,CMP001
T000003,C00001,2025-11-27 13:00:00,CH04,
T000004,C00001,2025-11-30 03:00:00,CH01,CMP001
T000005,C00002,2025-06-12 06:00:00,CH02,CMP004
T000006,C00002,2025-06-18 01:00:00,CH01,CMP001
T000007,C00002,2025-06-19 01:00:00,CH02,CMP004
T000008,C00002,2025-07-09 10:00:00,CH02,CMP003
T000009,C00002,2025-07-18 08:00:00,CH05,
T000010,C00002,2025-08-01 07:00:00,CH04,
T000011,C00002,2025-08-05 06:00:00,CH01,CMP002
T000012,C00002,2025-09-21 12:00:00,CH02,CMP003
T000013,C00002,2025-10-18 15:00:00,CH02,CMP003
T000014,C00002,2025-10-24 17:00:00,CH05,
T000015,C00002,2025-11-02 00:00:00,CH02,CMP004
T000016,C00002,2025-11-03 17:00:00,CH01,CMP001
T000017,C00005,2025-10-09 14:00:00,CH02,CMP004
T000018,C00005,2025-10-12 10:00:00,CH05,
T000019,C00005,2025-10-12 20:00:00,CH04,
T000020,C00005,2025-10-13 22:00:00,CH05,
T000021,C00006,2025-08-18 14:00:00,CH01,CMP001
T000022,C00006,2025-08-23 19:00:00,CH04,
T000023,C00006,2025-09-07 15:00:00,CH03,CMP005
T000024,C00006,2025-09-25 23:00:00,CH02,CMP004
T000025,C00006,2025-10-02 19:00:00,CH02,CMP004
T000026,C00006,2025-10-07 04:00:00,CH04,
T000027,C00006,2025-10-10 04:00:00,CH05,
T000028,C00006,2025-10-16 16:00:00,CH04,
T000029,C00006,2025-10-17 23:00:00,CH01,CMP001
T000030,C00006,2025-10-31 10:00:00,CH01,CMP002
T000031,C00006,2025-11-03 04:00:00,CH01,CMP001
T000032,C00006,2025-11-04 20:00:00,CH01,CMP002
T000033,C00006,2025-11-06 00:00:00,CH02,CMP004
T000034,C00006,2025-11-10 14:00:00,CH05,
T000035,C00006,2025-11-15 18:00:00,CH02,CMP004
T000036,C00006,2025-11-16 06:00:00,CH01,CMP001
T000037,C00006,2025-11-17 02:00:00,CH01,CMP001
T000038,C00006,2025-11-18 15:00:00,CH01,CMP002
T000039,C00007,2025-02-24 21:00:00,CH02,CMP003
T000040,C00007,2025-03-11 00:00:00,CH01,CMP002
T000041,C00007,2025-03-13 20:00:00,CH03,CMP005
T000042,C00007,2025-03-16 11:00:00,CH04,
T000043,C00008,2025-09-24 16:00:00,CH01,CMP001
T000044,C00008,2025-09-28 10:00:00,CH01,CMP002
T000045,C00008,2025-09-30 21:00:00,CH02,CMP003
T000046,C00008,2025-10-01 05:00:00,CH05,
T000047,C00008,2025-10-01 18:00:00,CH02,CMP003
T000048,C00009,2025-10-18 13:00:00,CH04,
T000049,C00009,2025-10-29 20:00:00,CH01,CMP001
T000050,C00009,2025-11-03 02:00:00,CH01,CMP001
T000051,C00009,2025-11-06 07:00:00,CH02,CMP004
T000052,C00009,2025-11-08 05:00:00,CH02,CMP004
T000053,C00009,2025-11-08 13:00:00,CH02,CMP003
T000054,C00009,2025-11-21 21:00:00,CH01,CMP001
T000055,C00009,2025-11-26 13:00:00,CH01,CMP002
T000056,C00009,2025-11-27 20:00:00,CH04,
T000057,C00009,2025-11-30 20:00:00,CH01,CMP001
T000058,C00009,2025-12-02 11:00:00,CH01,CMP001
T000059,C00009,2025-12-05 10:00:00,CH02,CMP004
T000060,C00011,2025-08-18 10:00:00,CH01,CMP002
T000061,C00012,2025-11-19 23:00:00,CH05,
T000062,C00012,2025-11-29 20:00:00,CH02,CMP003
T000063,C00012,2025-12-04 13:00:00,CH03,CMP005
T000064,C00012,2025-12-07 07:00:00,CH04,
T000065,C00012,2025-12-14 00:00:00,CH04,
T000066,C00014,2025-03-25 12:00:00,CH01,CMP001
T000067,C00015,2025-07-03 19:00:00,CH02,CMP004
T000068,C00015,2025-07-07 17:00:00,CH01,CMP001
T000069,C00015,2025-08-11 21:00:00,CH03,CMP005
T000070,C00015,2025-08-16 21:00:00,CH01,CMP002
T000071,C00015,2025-08-18 07:00:00,CH05,
T000072,C00015,2025-09-01 05:00:00,CH05,
T000073,C00016,2025-04-30 14:00:00,CH01,CMP002
T000074,C00016,2025-06-16 06:00:00,CH05,
T000075,C00016,2025-06-27 22:00:00,CH01,CMP001
T000076,C00016,2025-06-28 01:00:00,CH03,CMP005
T000077,C00016,2025-06-30 07:00:00,CH03,CMP005
T000078,C00016,2025-07-28 07:00:00,CH02,CMP003
T000079,C00016,2025-08-06 10:00:00,CH02,CMP003
T000080,C00016,2025-08-10 11:00:00,CH01,CMP002
T000081,C00016,2025-08-16 18:00:00,CH04,
T000082,C00016,2025-08-26 20:00:00,CH04,
T000083,C00016,2025-08-28 00:00:00,CH05,
T000084,C00016,2025-08-28 23:00:00,CH01,CMP001
T000085,C00016,2025-08-29 04:00:00,CH05,
T000086,C00017,2025-06-24 13:00:00,CH01,CMP001
T000087,C00017,2025-07-03 15:00:00,CH01,CMP002
T000088,C00017,2025-07-03 16:00:00,CH01,CMP002
T000089,C00018,2025-07-24 19:00:00,CH01,CMP002
T000090,C00018,2025-07-30 14:00:00,CH02,CMP004
T000091,C00019,2025-06-29 09:00:00,CH03,CMP005
T000092,C00019,2025-06-29 18:00:00,CH02,CMP003
T000093,C00020,2025-02-01 12:00:00,CH02,CMP004
T000094,C00020,2025-02-05 18:00:00,CH01,CMP002
T000095,C00020,2025-02-13 00:00:00,CH03,CMP005
